cname,enabled,active,discourseTopics,discourseCategories,discourseTopicPosts,protocol,proposals,total_records,segment
nexusmutual,True,False,81,9,1745,1,64,1900,medium
nftfinanceeth,True,False,81,9,1745,1,58,1894,medium
notionaleth,True,False,81,9,1745,1,88,1924,medium
nounbers,True,False,81,9,1745,1,5,1841,medium
nounjisDao,True,False,81,9,1745,1,9,1845,medium
nounsdao,True,False,505,5,2098,1,641,3250,medium
nounsdaoAfrica,True,False,505,5,2098,1,6,2615,medium
officialoceandaoeth,True,False,505,5,2098,1,151,2760,medium
olympusdao,True,False,505,5,2098,1,291,2900,medium
onchainkidz,True,False,505,5,2098,1,7,2616,medium
ondoDao,True,False,505,5,2098,1,9,2618,medium
ooki,True,False,87,5,140,1,25,258,few
opendao,True,False,87,5,140,1,27,260,few
openzeppelinTest,True,False,87,5,140,1,3,236,few
opiumprotocoleth,True,False,87,5,140,1,86,319,few
optimism,True,False,252,17,20194,1,190,20654,large
orangedao,True,False,252,17,20194,1,66,20530,large
originprotocol,False,False,252,17,20194,1,73,20537,large
oversmdao,True,False,252,17,20194,1,3,20467,large
paladin,True,False,74,6,899,1,106,1086,medium
pancakeswap,True,False,74,6,899,1,3577,4557,medium
pandadaoeth,True,False,74,6,899,1,18,998,low
